开始节点,开始节点类型,关系,结束节点,结束节点类型,文本
措施工艺原理、处理流程、处理效率（回收率），论证预处理措施的技术经济可行性；对于难生
物降解的高浓度废水宜采取焚烧等处理措施，低浓度废水应从严控制难生物降解污染因子的排
放限值。"
低浓度废水,环境影响评价技术导则制药建设项目,排放限值,难生物降解污染因子,环境影响评价技术导则制药建设项目,"废水分质预处理的合理性，阐述特征污染物、高浓度有机废水、高含盐废水等预处理
措施工艺原理、处理流程、处理效率（回收率），论证预处理措施的技术经济可行性；对于难生
物降解的高浓度废水宜采取焚烧等处理措施，低浓度废水应从严控制难生物降解污染因子的排
放限值。"
废水处理工艺流程图,环境影响评价技术导则制药建设项目,依据,全厂各股废水水质,环境影响评价技术导则制药建设项目,"依据全厂各股废水水质，对全厂废水处理流程进行多方案技术经济
比选论证。"
废水处理流程,环境影响评价技术导则制药建设项目,进行,多方案技术经济比选论证,环境影响评价技术导则制药建设项目,"依据全厂各股废水水质，对全厂废水处理流程进行多方案技术经济
比选论证。"
废水处理工艺,环境影响评价技术导则制药建设项目,阐明,处理能力,环境影响评价技术导则制药建设项目,"阐明废水处理工艺原理、处理能力、处理流程、主要设施（构筑物）及设计参数、
各工艺单元污染物去除效率、处理成本等，结合国内外同类产品先进的生产废水处理设施运行
实例，论述废水处理流程的合理性和污染物达标排放的可靠性。"
废水处理工艺,环境影响评价技术导则制药建设项目,阐明,处理流程,环境影响评价技术导则制药建设项目,"依据全厂各股废水水质，对全厂废水处理流程进行多方案技术经济
比选论证。"
废水处理工艺,环境影响评价技术导则制药建设项目,阐明,主要设施,环境影响评价技术导则制药建设项目,"阐明废水处理工艺原理、处理能力、处理流程、主要设施（构筑物）及设计参数、
各工艺单元污染物去除效率、处理成本等，结合国内外同类产品先进的生产废水处理设施运行
实例，论述废水处理流程的合理性和污染物达标排放的可靠性。"
废水处理工艺,环境影响评价技术导则制药建设项目,阐明,设计参数,环境影响评价技术导则制药建设项目,"阐明废水处理工艺原理、处理能力、处理流程、主要设施（构筑物）及设计参数、
各工艺单元污染物去除效率、处理成本等，结合国内外同类产品先进的生产废水处理设施运行
实例，论述废水处理流程的合理性和污染物达标排放的可靠性。"
废水处理工艺,环境影响评价技术导则制药建设项目,阐明,各工艺单元污染物去除效率,环境影响评价技术导则制药建设项目,"阐明废水处理工艺原理、处理能力、处理流程、主要设施（构筑物）及设计参数、
各工艺单元污染物去除效率、处理成本等，结合国内外同类产品先进的生产废水处理设施运行
实例，论述废水处理流程的合理性和污染物达标排放的可靠性。"
废水处理工艺,环境影响评价技术导则制药建设项目,阐明,处理成本,环境影响评价技术导则制药建设项目,"阐明废水处理工艺原理、处理能力、处理流程、主要设施（构筑物）及设计参数、
各工艺单元污染物去除效率、处理成本等，结合国内外同类产品先进的生产废水处理设施运行
实例，论述废水处理流程的合理性和污染物达标排放的可靠性。"
废水处理流程,环境影响评价技术导则制药建设项目,论述,合理性,环境影响评价技术导则制药建设项目,"废水分质预处理的合理性，阐述特征污染物、高浓度有机废水、高含盐废水等预处理
措施工艺原理、处理流程、处理效率（回收率），论证预处理措施的技术经济可行性；对于难生
物降解的高浓度废水宜采取焚烧等处理措施，低浓度废水应从严控制难生物降解污染因子的排
放限值。"
废水处理流程,环境影响评价技术导则制药建设项目,可靠性,污染物达标排放,环境影响评价技术导则制药建设项目,"阐明废水处理工艺原理、处理能力、处理流程、主要设施（构筑物）及设计参数、
各工艺单元污染物去除效率、处理成本等，结合国内外同类产品先进的生产废水处理设施运行
实例，论述废水处理流程的合理性和污染物达标排放的可靠性。"
持久性和难降解有机污染物,环境影响评价技术导则制药建设项目,重点关注,有效处理,环境影响评价技术导则制药建设项目,"重点关注持久性和难降解有机
13
HJ 611—2011
污染物、“三致”物质、对水生生物有剧毒、对环境敏感及高活性的药品活性成分等特征污染物
的有效处理。"
三致物质,环境影响评价技术导则制药建设项目,重点关注,有效处理,环境影响评价技术导则制药建设项目,"重点关注持久性和难降解有机
13
HJ 611—2011
污染物、“三致”物质、对水生生物有剧毒、对环境敏感及高活性的药品活性成分等特征污染物
的有效处理。"
对水生生物有剧毒的物质,环境影响评价技术导则制药建设项目,重点关注,有效处理,环境影响评价技术导则制药建设项目,"重点关注持久性和难降解有机
13
HJ 611—2011
污染物、“三致”物质、对水生生物有剧毒、对环境敏感及高活性的药品活性成分等特征污染物
的有效处理。"
对环境敏感的物质,环境影响评价技术导则制药建设项目,重点关注,有效处理,环境影响评价技术导则制药建设项目,"废水分质预处理的合理性，阐述特征污染物、高浓度有机废水、高含盐废水等预处理
措施工艺原理、处理流程、处理效率（回收率），论证预处理措施的技术经济可行性；对于难生
物降解的高浓度废水宜采取焚烧等处理措施，低浓度废水应从严控制难生物降解污染因子的排
放限值。
b）给出废水处理工艺流程图。依据全厂各股废水水质，对全厂废水处理流程进行多方案技术经济
比选论证。阐明废水处理工艺原理、处理能力、处理流程、主要设施（构筑物）及设计参数、
各工艺单元污染物去除效率、处理成本等，结合国内外同类产品先进的生产废水处理设施运行
实例，论述废水处理流程的合理性和污染物达标排放的可靠性。重点关注持久性和难降解有机
13
HJ 611—2011
污染物、“三致”物质、对水生生物有剧毒、对环境敏感及高活性的药品活性成分等特征污染物
的有效处理。
对于化学药品制造和生物生化制品制造建设项目，其环境影响报告书中采用的生产废水治理技
术必须有针对性的成功应用案例。废水治理技术若为首次应用，必须附相关的技术试验可行性
论证报告和中试规模的运行数据，并进行经济可行性分析。
c）对依托原有废水治理设施或委托其他单位处理措施，应"
高活性的药品活性成分,环境影响评价技术导则制药建设项目,重点关注,有效处理,环境影响评价技术导则制药建设项目,"重点关注持久性和难降解有机
13
HJ 611—2011
污染物、“三致”物质、对水生生物有剧毒、对环境敏感及高活性的药品活性成分等特征污染物
的有效处理。"
化学药品制造建设项目,环境影响评价技术导则制药建设项目,采用,生产废水治理技术,环境影响评价技术导则制药建设项目,"对于化学药品制造和生物生化制品制造建设项目，其环境影响报告书中采用的生产废水治理技
术必须有针对性的成功应用案例。"
生物生化制品制造建设项目,环境影响评价技术导则制药建设项目,采用,生产废水治理技术,环境影响评价技术导则制药建设项目,"对于化学药品制造和生物生化制品制造建设项目，其环境影响报告书中采用的生产废水治理技
术必须有针对性的成功应用案例。"
废水治理技术,环境影响评价技术导则制药建设项目,必须有,成功应用案例,环境影响评价技术导则制药建设项目,"对于化学药品制造和生物生化制品制造建设项目，其环境影响报告书中采用的生产废水治理技
术必须有针对性的成功应用案例。"
废水治理技术,环境影响评价技术导则制药建设项目,技术试验可行性论证报告,首次应用,环境影响评价技术导则制药建设项目,"废水治理技术若为首次应用，必须附相关的技术试验可行性
论证报告和中试规模的运行数据，并进行经济可行性分析。"
废水治理技术,环境影响评价技术导则制药建设项目,中试规模的运行数据,首次应用,环境影响评价技术导则制药建设项目,"废水治理技术若为首次应用，必须附相关的技术试验可行性
论证报告和中试规模的运行数据，并进行经济可行性分析。"
废水治理技术,环境影响评价技术导则制药建设项目,经济可行性分析,首次应用,环境影响评价技术导则制药建设项目,"废水治理技术若为首次应用，必须附相关的技术试验可行性
论证报告和中试规模的运行数据，并进行经济可行性分析。"
依托原有废水治理设施,环境影响评价技术导则制药建设项目,应,处理措施,环境影响评价技术导则制药建设项目,c）对依托原有废水治理设施或委托其他单位处理措施，应
委托其他单位处理措施,环境影响评价技术导则制药建设项目,应,处理措施,环境影响评价技术导则制药建设项目,c）对依托原有废水治理设施或委托其他单位处理措施，应
废水治理设施,环境影响评价技术导则制药建设项目,技术分析,特征因子去除效率,环境影响评价技术导则制药建设项目,"c）对依托原有废水治理设施或委托其他单位处理措施，应根据废水的可生化性和特征因子去除效
率、原设施及接收单位治理设施的运行效果及负荷的可承受性等方面进行技术分析。"
废水治理设施,环境影响评价技术导则制药建设项目,技术分析,运行效果,环境影响评价技术导则制药建设项目,"c）对依托原有废水治理设施或委托其他单位处理措施，应根据废水的可生化性和特征因子去除效
率、原设施及接收单位治理设施的运行效果及负荷的可承受性等方面进行技术分析。"
废水治理设施,环境影响评价技术导则制药建设项目,技术分析,负荷可承受性,环境影响评价技术导则制药建设项目,"c）对依托原有废水治理设施或委托其他单位处理措施，应根据废水的可生化性和特征因子去除效
率、原设施及接收单位治理设施的运行效果及负荷的可承受性等方面进行技术分析。"
特征污染物,环境影响评价技术导则制药建设项目,建议,纳管控制限值,环境影响评价技术导则制药建设项目,"提出特征
污染物的纳管控制限值建议。"
接收单位,环境影响评价技术导则制药建设项目,签订,意向接收协议,环境影响评价技术导则制药建设项目,报告书后应附与接收单位签订的意向接收协议。
制药建设项目,环境影响评价技术导则制药建设项目,一览表,废水治理措施,环境影响评价技术导则制药建设项目,"d）给出制药建设项目废水治理措施一览表，包括处理设施名称、处理工艺、污染物去除效率、资
源回收量（回收率）、投资及运行成本等。"
处理设施,环境影响评价技术导则制药建设项目,包含,处理工艺,环境影响评价技术导则制药建设项目,"d）给出制药建设项目废水治理措施一览表，包括处理设施名称、处理工艺、污染物去除效率、资
源回收量（回收率）、投资及运行成本等。"
处理设施,环境影响评价技术导则制药建设项目,包含,污染物去除效率,环境影响评价技术导则制药建设项目,"d）给出制药建设项目废水治理措施一览表，包括处理设施名称、处理工艺、污染物去除效率、资
源回收量（回收率）、投资及运行成本等。"
处理设施,环境影响评价技术导则制药建设项目,包含,资源回收量,环境影响评价技术导则制药建设项目,"d）给出制药建设项目废水治理措施一览表，包括处理设施名称、处理工艺、污染物去除效率、资
源回收量（回收率）、投资及运行成本等。"
处理设施,环境影响评价技术导则制药建设项目,包含,投资及运行成本,环境影响评价技术导则制药建设项目,"d）给出制药建设项目废水治理措施一览表，包括处理设施名称、处理工艺、污染物去除效率、资
源回收量（回收率）、投资及运行成本等。"
固体废物,环境影响评价技术导则制药建设项目,可行性分析,预处理,环境影响评价技术导则制药建设项目,"12.3.3 固体废物处置措施及技术经济分析
a）根据固体废物的性质，分析对其采取预处理、综合利用、无害化处置等措施的可行性。"
固体废物,环境影响评价技术导则制药建设项目,可行性分析,综合利用,环境影响评价技术导则制药建设项目,"12.3.3 固体废物处置措施及技术经济分析
a）根据固体废物的性质，分析对其采取预处理、综合利用、无害化处置等措施的可行性。"
固体废物,环境影响评价技术导则制药建设项目,可行性分析,无害化处置,环境影响评价技术导则制药建设项目,"12.3.3 固体废物处置措施及技术经济分析
a）根据固体废物的性质，分析对其采取预处理、综合利用、无害化处置等措施的可行性。"
固体废物,环境影响评价技术导则制药建设项目,防止二次污染,厂内收集,环境影响评价技术导则制药建设项目,"b）分析固体废物厂内收集、临时储存、转运过程防止二次污染措施的可行性，产生的危险废物必
须按照GB 18597进行贮存。"
固体废物,环境影响评价技术导则制药建设项目,防止二次污染,临时储存,环境影响评价技术导则制药建设项目,"b）分析固体废物厂内收集、临时储存、转运过程防止二次污染措施的可行性，产生的危险废物必
须按照GB 18597进行贮存。"
固体废物,环境影响评价技术导则制药建设项目,防止二次污染,转运过程,环境影响评价技术导则制药建设项目,"b）分析固体废物厂内收集、临时储存、转运过程防止二次污染措施的可行性，产生的危险废物必
须按照GB 18597进行贮存。"
危险废物,环境影响评价技术导则制药建设项目,贮存规定,,环境影响评价技术导则制药建设项目,"b）分析固体废物厂内收集、临时储存、转运过程防止二次污染措施的可行性，产生的危险废物必
须按照GB 18597进行贮存。"
固体废物,环境影响评价技术导则制药建设项目,国家规定,综合利用,环境影响评价技术导则制药建设项目,"12.3.3 固体废物处置措施及技术经济分析
a）根据固体废物的性质，分析对其采取预处理、综合利用、无害化处置等措施的可行性。"
固体废物,环境影响评价技术导则制药建设项目,措施,防治二次污染,环境影响评价技术导则制药建设项目,"b）分析固体废物厂内收集、临时储存、转运过程防止二次污染措施的可行性，产生的危险废物必
须按照GB 18597进行贮存。"
接收方,环境影响评价技术导则制药建设项目,提供,证明,环境影响评价技术导则制药建设项目,c）固体废物进行综合利用，须符合国家有关规定，提出防治二次污染措施以及接收方的证明等。
危险废物焚烧炉,环境影响评价技术导则制药建设项目,规定,,环境影响评价技术导则制药建设项目,"d）厂内自建危险废物焚烧炉，应按照 GB 18484和 HJ/T 176的相关规定，论证选址的可行性和治
理措施的有效性。"
危险废物焚烧炉,环境影响评价技术导则制药建设项目,可行性论证,选址,环境影响评价技术导则制药建设项目,"d）厂内自建危险废物焚烧炉，应按照 GB 18484和 HJ/T 176的相关规定，论证选址的可行性和治
理措施的有效性。"
危险废物焚烧炉,环境影响评价技术导则制药建设项目,有效性论证,治理措施,环境影响评价技术导则制药建设项目,"d）厂内自建危险废物焚烧炉，应按照 GB 18484和 HJ/T 176的相关规定，论证选址的可行性和治
理措施的有效性。"
焚烧物料,环境影响评价技术导则制药建设项目,理化性质,组成,环境影响评价技术导则制药建设项目,"应给出焚烧物料的组成及理化性质、焚烧炉炉型结构、材质、技术性能指标、
尾气处理工艺等，重点分析控制二噁恶英产生的措施以及尾"
焚烧炉,环境影响评价技术导则制药建设项目,技术性能指标,炉型结构,环境影响评价技术导则制药建设项目,"应给出焚烧物料的组成及理化性质、焚烧炉炉型结构、材质、技术性能指标、
尾气处理工艺等，重点分析控制二噁恶英产生的措施以及尾"
焚烧炉,环境影响评价技术导则制药建设项目,技术性能指标,尾气处理工艺,环境影响评价技术导则制药建设项目,"应给出焚烧物料的组成及理化性质、焚烧炉炉型结构、材质、技术性能指标、
尾气处理工艺等，重点分析控制二噁恶英产生的措施以及尾"
二噁恶英,环境影响评价技术导则制药建设项目,重点分析,控制措施,环境影响评价技术导则制药建设项目,"告和中试规模的运行数据，并进行经济可行性分析。
c）对依托原有废水治理设施或委托其他单位处理措施，应根据废水的可生化性和特征因子去除效
率、原设施及接收单位治理设施的运行效果及负荷的可承受性等方面进行技术分析。提出特征
污染物的纳管控制限值建议。报告书后应附与接收单位签订的意向接收协议。
d）给出制药建设项目废水治理措施一览表，包括处理设施名称、处理工艺、污染物去除效率、资
源回收量（回收率）、投资及运行成本等。
12.3.3 固体废物处置措施及技术经济分析
a）根据固体废物的性质，分析对其采取预处理、综合利用、无害化处置等措施的可行性。
b）分析固体废物厂内收集、临时储存、转运过程防止二次污染措施的可行性，产生的危险废物必
须按照GB 18597进行贮存。
c）固体废物进行综合利用，须符合国家有关规定，提出防治二次污染措施以及接收方的证明等。
d）厂内自建危险废物焚烧炉，应按照 GB 18484和 HJ/T 176的相关规定，论证选址的可行性和治
理措施的有效性。应给出焚烧物料的组成及理化性质、焚烧炉炉型结构、材质、技术性能指标、
尾气处理工艺等，重点分析控制二噁恶英产生的措施以及尾"
理化性质,环境影响评价技术导则制药建设项目,属性,焚烧炉炉型结构,环境影响评价技术导则制药建设项目,"理化性质、焚烧炉炉型结构、材质、技术性能指标、
尾气处理工艺等，重点分析控制二噁恶英产生的措施以及尾气达标排放的可靠性。"
焚烧炉炉型结构,环境影响评价技术导则制药建设项目,属性,材质,环境影响评价技术导则制药建设项目,"理化性质、焚烧炉炉型结构、材质、技术性能指标、
尾气处理工艺等，重点分析控制二噁恶英产生的措施以及尾气达标排放的可靠性。"
焚烧炉炉型结构,环境影响评价技术导则制药建设项目,属性,技术性能指标,环境影响评价技术导则制药建设项目,"理化性质、焚烧炉炉型结构、材质、技术性能指标、
尾气处理工艺等，重点分析控制二噁恶英产生的措施以及尾气达标排放的可靠性。"
尾气处理工艺,环境影响评价技术导则制药建设项目,控制措施,二噁恶英,环境影响评价技术导则制药建设项目,"理化性质、焚烧炉炉型结构、材质、技术性能指标、
尾气处理工艺等，重点分析控制二噁恶英产生的措施以及尾气达标排放的可靠性。"
尾气处理工艺,环境影响评价技术导则制药建设项目,达标排放可靠性,尾气,环境影响评价技术导则制药建设项目,"理化性质、焚烧炉炉型结构、材质、技术性能指标、
尾气处理工艺等，重点分析控制二噁恶英产生的措施以及尾气达标排放的可靠性。"
危险废物,环境影响评价技术导则制药建设项目,委托处置,固体废物,环境影响评价技术导则制药建设项目,e）危险废物等固体废物委托其他单位焚烧或填埋处置，应分析受委托单位的技术和能力可行性。
固体废物,环境影响评价技术导则制药建设项目,处置方式,焚烧,环境影响评价技术导则制药建设项目,e）危险废物等固体废物委托其他单位焚烧或填埋处置，应分析受委托单位的技术和能力可行性。
固体废物,环境影响评价技术导则制药建设项目,处置方式,填埋,环境影响评价技术导则制药建设项目,e）危险废物等固体废物委托其他单位焚烧或填埋处置，应分析受委托单位的技术和能力可行性。
受委托单位,环境影响评价技术导则制药建设项目,可行性,技术,环境影响评价技术导则制药建设项目,e）危险废物等固体废物委托其他单位焚烧或填埋处置，应分析受委托单位的技术和能力可行性。
受委托单位,环境影响评价技术导则制药建设项目,可行性,能力,环境影响评价技术导则制药建设项目,e）危险废物等固体废物委托其他单位焚烧或填埋处置，应分析受委托单位的技术和能力可行性。
报告书,环境影响评价技术导则制药建设项目,附件,意向接收协议,环境影响评价技术导则制药建设项目,报告书后应附与接收单位签订的意向接收协议和接收单位的运营资质。
报告书,环境影响评价技术导则制药建设项目,附件,运营资质,环境影响评价技术导则制药建设项目,报告书后应附与接收单位签订的意向接收协议和接收单位的运营资质。
生物生化制品制造,环境影响评价技术导则制药建设项目,依据规定,发酵类制药,环境影响评价技术导则制药建设项目,"f）生物生化制品制造中的发酵类制药应依据国家有关规定确定发酵后处理过程产生的废渣属性，
提出可行的处理处置措施。"
发酵后处理过程,环境影响评价技术导则制药建设项目,属性,废渣,环境影响评价技术导则制药建设项目,"f）生物生化制品制造中的发酵类制药应依据国家有关规定确定发酵后处理过程产生的废渣属性，
提出可行的处理处置措施。"
废渣,环境影响评价技术导则制药建设项目,可行性,处理处置措施,环境影响评价技术导则制药建设项目,"f）生物生化制品制造中的发酵类制药应依据国家有关规定确定发酵后处理过程产生的废渣属性，
提出可行的处理处置措施。"
固体废物处置措施,环境影响评价技术导则制药建设项目,给出,一次性投资,环境影响评价技术导则制药建设项目,g）给出固体废物处置措施的一次性投资，处置费用。
固体废物处置措施,环境影响评价技术导则制药建设项目,给出,处置费用,环境影响评价技术导则制药建设项目,g）给出固体废物处置措施的一次性投资，处置费用。
制药建设项目,环境影响评价技术导则制药建设项目,污染途径,地下水,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
制药建设项目,环境影响评价技术导则制药建设项目,污染途径,土壤,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
生产装置,环境影响评价技术导则制药建设项目,渗漏,厂区地面,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
厂区地面,环境影响评价技术导则制药建设项目,渗漏,地下水,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
厂区地面,环境影响评价技术导则制药建设项目,渗漏,土壤,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
地下污水管线,环境影响评价技术导则制药建设项目,发生,渗漏,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
废水检查检修井,环境影响评价技术导则制药建设项目,发生,渗漏,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
废水处理设施,环境影响评价技术导则制药建设项目,渗漏,废水储存,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
废水处理设施,环境影响评价技术导则制药建设项目,渗漏,处理构筑物,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
危险化学品储罐,环境影响评价技术导则制药建设项目,发生,渗漏,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
危险废物临时储存设施,环境影响评价技术导则制药建设项目,渗漏,底部,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
制药建设项目,环境影响评价技术导则制药建设项目,依据,地下水和土壤保护目标,环境影响评价技术导则制药建设项目,"12.3.4 地下水与土壤环境保护措施
制药建设项目污染地下水与土壤的主要途径为：
a）生产装置跑、冒、滴、漏至厂区地面，并渗漏至地下水和土壤环境；
b）地下污水管线和废水检查/检修井发生渗漏、废水处理设施的废水储存和处理构筑物发生渗漏；
c）危险化学品储罐发生渗漏；
d）危险废物临时储存设施底部发生渗漏。"
厂区设备布置,环境影响评价技术导则制药建设项目,分析,污染源头,环境影响评价技术导则制药建设项目,"根据制药建设项目地下水和土壤保护目标，依据厂区设备布置，分析可能存在的污染源头与污染物
质，分析其渗漏途径，提出切断渗漏途径并监控地下水与土壤质量的环境保护措施。"
厂区设备布置,环境影响评价技术导则制药建设项目,分析,污染物质,环境影响评价技术导则制药建设项目,"根据制药建设项目地下水和土壤保护目标，依据厂区设备布置，分析可能存在的污染源头与污染物
质，分析其渗漏途径，提出切断渗漏途径并监控地下水与土壤质量的环境保护措施。"
污染源头,环境影响评价技术导则制药建设项目,分析,渗漏途径,环境影响评价技术导则制药建设项目,"根据制药建设项目地下水和土壤保护目标，依据厂区设备布置，分析可能存在的污染源头与污染物
质，分析其渗漏途径，提出切断渗漏途径并监控地下水与土壤质量的环境保护措施。"
污染物质,环境影响评价技术导则制药建设项目,分析,渗漏途径,环境影响评价技术导则制药建设项目,"根据制药建设项目地下水和土壤保护目标，依据厂区设备布置，分析可能存在的污染源头与污染物
质，分析其渗漏途径，提出切断渗漏途径并监控地下水与土壤质量的环境保护措施。"
渗漏途径,环境影响评价技术导则制药建设项目,环境保护措施,切断,环境影响评价技术导则制药建设项目,"根据制药建设项目地下水和土壤保护目标，依据厂区设备布置，分析可能存在的污染源头与污染物
质，分析其渗漏途径，提出切断渗漏途径并监控地下水与土壤质量的环境保护措施。"
地下水,环境影响评价技术导则制药建设项目,监控,质量,环境影响评价技术导则制药建设项目,"根据制药建设项目地下水和土壤保护目标，依据厂区设备布置，分析可能存在的污染源头与污染物
质，分析其渗漏途径，提出切断渗漏途径并监控地下水与土壤质量的环境保护措施。"
土壤,环境影响评价技术导则制药建设项目,监控,质量,环境影响评价技术导则制药建设项目,"根据制药建设项目地下水和土壤保护目标，依据厂区设备布置，分析可能存在的污染源头与污染物
质，分析其渗漏途径，提出切断渗漏途径并监控地下水与土壤质量的环境保护措施。"
地下水与土壤环境保护措施,环境影响评价技术导则制药建设项目,给出,一次性投资,环境影响评价技术导则制药建设项目,"给出地下水与土壤
环境保护措施的一次性投资。"
非正常工况,环境影响评价技术导则制药建设项目,分析,环境保护措施,环境影响评价技术导则制药建设项目,"12.3.5 非正常工况下环境保护措施
分析"
地下水,环境影响评价技术导则制药建设项目,环境保护措施,土壤,环境影响评价技术导则制药建设项目,"给出地下水与土壤
环境保护措施的一次性投资。"
设备检修,环境影响评价技术导则制药建设项目,收集及处理,废气,环境影响评价技术导则制药建设项目,"12.3.5 非正常工况下环境保护措施
分析设备检修及开停车时排出的废气、废水和固体废物收集及处理措施的可行性。"
设备检修,环境影响评价技术导则制药建设项目,收集及处理,废水,环境影响评价技术导则制药建设项目,"12.3.5 非正常工况下环境保护措施
分析设备检修及开停车时排出的废气、废水和固体废物收集及处理措施的可行性。"
设备检修,环境影响评价技术导则制药建设项目,收集及处理,固体废物,环境影响评价技术导则制药建设项目,"12.3.5 非正常工况下环境保护措施
分析设备检修及开停车时排出的废气、废水和固体废物收集及处理措施的可行性。"
噪声源,环境影响评价技术导则制药建设项目,主要来源,机械设备噪声,环境影响评价技术导则制药建设项目,"12.3.6 噪声防治措施
制药建设项目噪声源主要为：室内的机械设备噪声，室外制冷设备噪声、冷却塔噪声、管道噪声和
放空噪声等。"
噪声源,环境影响评价技术导则制药建设项目,主要来源,制冷设备噪声,环境影响评价技术导则制药建设项目,"12.3.6 噪声防治措施
制药建设项目噪声源主要为：室内的机械设备噪声，室外制冷设备噪声、冷却塔噪声、管道噪声和
放空噪声等。"
噪声源,环境影响评价技术导则制药建设项目,主要来源,冷却塔噪声,环境影响评价技术导则制药建设项目,"12.3.6 噪声防治措施
制药建设项目噪声源主要为：室内的机械设备噪声，室外制冷设备噪声、冷却塔噪声、管道噪声和
放空噪声等。"
噪声源,环境影响评价技术导则制药建设项目,主要来源,管道噪声,环境影响评价技术导则制药建设项目,"12.3.6 噪声防治措施
制药建设项目噪声源主要为：室内的机械设备噪声，室外制冷设备噪声、冷却塔噪声、管道噪声和
放空噪声等。"
噪声源,环境影响评价技术导则制药建设项目,主要来源,放空噪声,环境影响评价技术导则制药建设项目,"12.3.6 噪声防治措施
制药建设项目噪声源主要为：室内的机械设备噪声，室外制冷设备噪声、冷却塔噪声、管道噪声和
放空噪声等。"
